name,accuracy,precision_macro,recall_macro,f1_macro,infer_ms_mean,infer_ms_std,infer_ms_median,infer_ms_p95,infer_ms_min,infer_ms_max,n_warmup,n_timed,n_test
CNN + MFCC,0.9607843137254902,0.956872613675807,0.9642857142857142,0.9598776223776224,76.95787268626874,3.4864753845431675,76.91851199990651,83.06928260001314,69.58239400000821,93.20667800000138,10,153,153
CNN + MelSpec,0.954248366013072,0.95,0.9587301587301587,0.9532824427480916,70.40596464051846,2.459150179588838,70.13675099994998,75.3078173999711,65.66133199999058,81.41482999997152,10,153,153
RF + MFCC,0.9477124183006536,0.9482359230220955,0.9436507936507936,0.945763913505849,66.13882891503584,7.4178786106470636,67.43329300002188,80.5133259999593,54.60527800005366,85.7229449999295,10,153,153
LSTM + MFCC,0.9281045751633987,0.9235294117647059,0.9317460317460318,0.926586695747001,74.50775273854876,3.8480310035102296,73.64139800006342,80.29676700007258,69.81424300010985,99.7089780000806,10,153,153
LSTM + MelSpec,0.8496732026143791,0.8678571428571429,0.8269841269841269,0.8374220374220374,74.75694157516146,5.115344641062531,73.26679099992361,82.33204999996816,69.71992199999022,99.92849100001422,10,153,153
